response,Food general,Character general,Knowledge of area,Location,Food specific,Character specific,Disrupt knowledge,Situation ,random,Discard
Brooklyn doesn't know the area well,,,1,,,,,,,
Harper's favourite food is hot dogs,1,,,,,,,,,
Adrian doesn't like hot dogs,1,,,,,,,,,
Perhaps Jesse wanted to try a burger today or there was a long queue at the hot dog stand,,,,,1,,,,,
They can see the hot dog food in their eyeline and it's their favourite food,1,,,1,,,,,,
They wanted the longest route as they are sporty,,1,,,,,,,,
they don't know the area well so just head to the pizza stand as its all they can see,,,1,1,,,,,,
the pizza stand and hot dog stand are the same distance so they picked what they wanted to eat,,,,,1,,,,,
they are sporty so fancied a walk round and found the hot dog stand,,1,,,,,,,,
they wanted a longer walk as they are sporty and know the area well,,1,1,,,,,,,
they don't know the area well and decided to go exploring and found the pizza stand,,,1,,,,,,,
they don't know the area well so went explorng and found their favourite food which is hot dogs,1,,1,,,,,,,
seems odd given they are lazy - could have gone a more direct route so I don't know,,1,1,1,,,,,,
doesn't seem to be one - they walk past their favourite food and go further,1,,,1,,,,,,
they like hot dogs so makes sense they go to that one,1,,,,,,,,,
getting their favourite food and in the most direct route,1,,,,,,,,,
went to the nearest one as they are lazy,,1,,1,,,,,,
preferred to get hot dogs - as they know the area well went direct route,1,,1,,,,,,,
as are sporty - they went for a longer walk,,1,,,,,,,,
odd choice - as could have got hot dogs,,,,,,,,,1,
He took the longer path as he is sporty,,1,,,,,,,,
He went to the hot dog stand as it's his favourite food and he knows it's there,1,,1,,,,,,,
He decided he wanted pizza and went there as he knows the area well,,,1,,1,,,,,
He was going to the hot dog stand but changed his mind so went to pizza stand instead,,,,,1,,,,,
She decided that the hot dogs don't look good so went to pizza stand instead,,,,,,,,1,,
He went to the closest food stand he could see,,,,1,,,,,,
He didn't know there was a hot dog stand in the area and the pizza stand was close,,,1,1,,,,,,
They walked in wrong direction so kept walking until they reached the hot dog stand,,,,,,,1,,,
Taylor loves hot dogs and the hot dog stand catches their eye today.,1,,,,,,,,,
Charlie really wanted pizza today.,,,,,1,,,,,
"Jesse was enjoying exploring the area as they like to keep active, and so walked on until they came to the pizza truck. By that point, they were a bit tired, so decided to eat there.",1,,1,,,,,,,
"Parker loves hot dogs so much, that they were willing to walk a little bit further to get to the hot dog stand today.",1,,,,,,,,,
"Drew had a big craving for pizza today, so went straight to that stall.",,,,,1,,,,,
"Harper thought they would see if there were any food stalls closer to them just around the corner, and there was one - a pizza stand!",,,,1,,,,,,
"Adrian could see the pizza stand, but didn't really fancy pizza today, so he thought he'd see if there was anything round the corner.",,,,1,,,,,,
Brooklyn was happy to keep on exploring after they came to the pizza stand - they enjoy being active and wanted to see whether there were other food options in the area.,,,,1,,,,,,
,,,,,,1,,,,
